,MAKE A COPY TO BEGIN YOUR WORK. THIS IS A READ ONLY FILE,,,,,,,,,,,,,
2024-09-08,1432930060,05/19/1992,robert,norris,New Flight,D41605306,TRUE,ttt,ATL,FALSE,TRUE,-1,2,FALSE
2023-11-06,1432930060,05/19/1992,robert,Norris,Flight Status,R74238495,TRUE,LAX,YYY,TRUE,TRUE,0,20,FALSE
2021-05-14,4876865854,07/27/2018,JOHN,perry,Cancel Flight,X41042023,FALSE,BOS,DEN,FALSE,FALSE,4,8,TRUE
2023-07-01,4876865854,07/27/2018,JOHN,Perry,Cancel Flight,Z75429953,FALSE,BOS,LAX,FALSE,,2,18,FALSE
2021-08-06,4876865854,2018/07/27,JOHN,Perry,Flight Status,K02636504,FALSE,SEA,SFO,FALSE,FALSE,0,2,FALSE
2024-08-23,4876865854,07/27/2018,john,perry,Flight Deal,E64843243,TRUE,SEA,LAX,TRUE,TRUE,12,9,FALSE
2023-01-26,3110075285,07/04/1995,BRIAN,donaldson,Cancel Flight,Y86297815,TRUE,DFW,LAX,TRUE,,0,4,FALSE
2021-08-04,3110075285,07/04/1995,BRIAN,,Flight Status,J98963009,,SEA,DFW,FALSE,FALSE,9,19,TRUE
2021-12-25,3110075285,07/04/1995,brian,donaldson,Flight Status,,FALSE,LAX,DEN,FALSE,FALSE,0,4,FALSE
2023-03-23,3110075285,07/04/1995,BRIAN,donaldson,Flight Status,U94381065,FALSE,ATL,SFO,TRUE,TRUE,4,6,TRUE
2023-11-21,5767064838,1992/01/03,nicholas,Moore,Flight Deal,L94566656,TRUE,BOS,JFK,FALSE,TRUE,11,13,FALSE
2024-03-22,5767064838,01/03/1992,nicholas,moore,Flight Deal,O14144205,FALSE,JFK,SFO,TRUE,,-1,12,TRUE
2023-02-08,5767064838,1992/01/03,NICHOLAS,Moore,Flight Status,I48363626,,ttt,DFW,FALSE,TRUE,13,21,TRUE
2023-04-19,8882755974,29-12-2018,BRIDGET,williamson,New Flight,K35248802,TRUE,LAX,SFO,FALSE,FALSE,-1,2,TRUE
2024-03-29,8882755974,12/29/2018,bridget,williamson,New Flight,Y49258215,FALSE,MIA,LAX,FALSE,TRUE,0,11,FALSE
2023-03-24,8882755974,2018/12/29,bridget,williamson,Flight Status,E32604964,TRUE,LAX,BOS,TRUE,TRUE,6,15,TRUE
2023-08-19,8882755974,2018/12/29,BRIDGET,Williamson,,B21654781,FALSE,ttt,DEN,TRUE,TRUE,4,6,FALSE
2022-02-22,200761025,2018/03/15,ALICE,Jones,Flight Deal,B97747500,FALSE,MIA,SEA,TRUE,FALSE,-1,24,TRUE
2021-02-21,200761025,15-03-2018,ALICE,Jones,,E88023313,,JFK,SFO,FALSE,FALSE,11,21,FALSE
2021-04-18,200761025,2018/03/15,alice,Jones,Flight Status,B35376370,FALSE,SFO,DFW,FALSE,TRUE,0,3,FALSE
2021-06-01,200761025,2018/03/15,alice,Jones,New Flight,N20067933,TRUE,DEN,SEA,TRUE,FALSE,9,8,TRUE
2022-05-08,7877016948,08-11-1993,susan,Gallegos,,P65393811,FALSE,DEN,MIA,TRUE,FALSE,2,10,FALSE
2023-01-15,7877016948,08-11-1993,susan,Gallegos,Cancel Flight,U21076749,TRUE,SEA,JFK,TRUE,FALSE,3,19,
2023-11-30,7877016948,08-11-1993,SUSAN,Gallegos,New Flight,W85580037,FALSE,,LAX,FALSE,FALSE,3,4,FALSE
2021-01-10,606092191,05/21/2016,nicole,Wilson,Cancel Flight,O67991430,FALSE,DEN,SFO,FALSE,TRUE,0,14,TRUE
2021-11-20,606092191,21-05-2016,nicole,Wilson,Flight Deal,T40100046,TRUE,ATL,LAX,FALSE,TRUE,4,11,TRUE
2022-03-11,606092191,2016/05/21,NICOLE,Wilson,Flight Status,Q37019436,FALSE,DFW,SFO,FALSE,TRUE,-1,10,TRUE
2024-05-01,606092191,21-05-2016,NICOLE,wilson,Cancel Flight,U89238048,,BOS,DFW,TRUE,FALSE,12,19,FALSE
2024-05-24,606092191,21-05-2016,NICOLE,Wilson,New Flight,Q05818801,FALSE,DFW,YYY,,TRUE,-1,2,TRUE
2022-05-22,4140349926,,BRANDI,brown,Flight Status,X46628851,TRUE,BOS,LAX,,TRUE,-1,15,FALSE
2021-01-25,4140349926,08/25/2018,BRANDI,Brown,New Flight,P39716408,FALSE,ttt,SFO,TRUE,FALSE,13,6,TRUE
2024-05-14,4140349926,08/25/2018,brandi,brown,New Flight,G68582010,TRUE,JFK,ATL,FALSE,FALSE,12,10,FALSE
2021-11-19,4140349926,08/25/2018,brandi,Brown,Cancel Flight,O21157871,FALSE,MIA,,TRUE,FALSE,11,6,
2024-09-16,4140349926,2018/08/25,brandi,Brown,Flight Status,A25124491,TRUE,JFK,DEN,TRUE,,8,10,FALSE
2023-11-19,620553254,03/08/2019,janet,Hunter,Cancel Flight,L25346562,TRUE,ORD,BOS,TRUE,FALSE,3,2,FALSE
2024-03-04,620553254,2019/03/08,,hunter,Cancel Flight,Y01511781,TRUE,ATL,SEA,FALSE,TRUE,8,2,FALSE
2022-03-02,620553254,03/08/2019,JANET,hunter,Flight Status,O96953098,FALSE,SFO,MIA,TRUE,FALSE,0,9,TRUE
2022-12-03,620553254,2019/03/08,JANET,hunter,Flight Status,F22368916,FALSE,SEA,MIA,TRUE,TRUE,-1,15,TRUE
2024-03-20,3371123897,08/26/2007,joel,Adkins,Flight Status,D64106983,FALSE,SFO,DEN,TRUE,TRUE,3,8,
2024-05-13,3371123897,26-08-2007,joel,Adkins,Flight Deal,Z13582040,TRUE,SFO,DEN,FALSE,TRUE,13,16,TRUE
2023-01-04,,08/26/2007,JOEL,Adkins,Cancel Flight,S31751604,FALSE,ORD,SFO,TRUE,,8,15,FALSE
2021-06-16,3371123897,08/26/2007,,adkins,New Flight,Q30669010,,LAX,DEN,FALSE,TRUE,1,15,TRUE
2022-03-01,3371123897,26-08-2007,JOEL,Adkins,Flight Status,N70387518,FALSE,DEN,SFO,TRUE,FALSE,-1,16,FALSE
2021-11-14,1007638577,11-04-1992,diane,Collier,Cancel Flight,D65174004,,,LAX,,FALSE,-1,15,TRUE
2023-10-04,1007638577,11-04-1992,DIANE,Collier,New Flight,F30002433,TRUE,MIA,DFW,FALSE,FALSE,-1,11,FALSE
2023-10-23,1007638577,1992/04/11,diane,Collier,Flight Status,Z26510949,TRUE,DEN,LAX,FALSE,FALSE,,9,
2021-09-01,1007638577,11-04-1992,diane,Collier,Flight Status,J70876865,FALSE,BOS,ORD,TRUE,FALSE,14,10,FALSE
2023-12-31,1007638577,04/11/1992,diane,Collier,Flight Status,U92878450,TRUE,LAX,ATL,FALSE,FALSE,4,,TRUE
2023-12-12,9738875264,2018/03/28,,Ortega,Flight Deal,H71328574,FALSE,LAX,BOS,TRUE,FALSE,0,9,FALSE
2022-05-16,9738875264,03/28/2018,MATTHEW,ortega,Flight Deal,G18655745,FALSE,,DFW,FALSE,FALSE,0,,FALSE
2021-02-22,9738875264,03/28/2018,matthew,Ortega,New Flight,Z03459223,FALSE,ORD,,TRUE,FALSE,-1,1,TRUE
2022-10-02,9738875264,2018/03/28,matthew,ortega,New Flight,Z21765924,FALSE,ATL,DEN,FALSE,TRUE,-1,5,TRUE
2021-02-12,9738875264,03/28/2018,MATTHEW,Ortega,Flight Status,,TRUE,BOS,MIA,FALSE,TRUE,0,12,TRUE
2021-04-30,5755447889,01/17/2017,ANTONIO,Pittman,Flight Status,R86693794,FALSE,SFO,DFW,FALSE,FALSE,0,22,FALSE
2022-12-23,5755447889,2017/01/17,antonio,pittman,Cancel Flight,O09146280,TRUE,ORD,MIA,FALSE,TRUE,0,12,TRUE
2022-12-22,5755447889,01/17/2017,,Pittman,,J67260817,TRUE,JFK,LAX,TRUE,TRUE,-1,8,TRUE
2023-05-11,5755447889,2017/01/17,ANTONIO,pittman,New Flight,W59810415,TRUE,JFK,SFO,TRUE,FALSE,-1,18,TRUE
2023-07-23,6912440530,04/25/1994,kenneth,carter,Flight Deal,J34370334,FALSE,ATL,SFO,FALSE,FALSE,-1,5,TRUE
2024-05-28,6912440530,04/25/1994,KENNETH,carter,Flight Status,Q24624088,TRUE,MIA,SFO,FALSE,FALSE,0,17,TRUE
2024-03-11,6912440530,25-04-1994,kenneth,carter,New Flight,V66062371,TRUE,ttt,SFO,TRUE,TRUE,0,8,TRUE
2022-07-10,6912440530,04/25/1994,kenneth,carter,Cancel Flight,K09711483,FALSE,BOS,JFK,FALSE,TRUE,-1,6,FALSE
2021-10-31,6912440530,04/25/1994,KENNETH,carter,Flight Deal,V99968849,TRUE,BOS,SEA,TRUE,FALSE,0,13,TRUE
2022-07-27,6912440530,1994/04/25,KENNETH,carter,New Flight,X36600178,TRUE,LAX,,FALSE,FALSE,-1,2,FALSE
2022-06-04,6912440530,1994/04/25,kenneth,carter,New Flight,Y38208268,FALSE,DEN,JFK,FALSE,TRUE,4,12,FALSE
2024-06-12,6912440530,25-04-1994,KENNETH,Carter,Flight Status,L63619043,TRUE,ATL,SEA,FALSE,FALSE,-1,15,TRUE
2021-10-29,6912440530,25-04-1994,kenneth,carter,Flight Status,A17036383,FALSE,JFK,DEN,TRUE,TRUE,-1,3,TRUE
2021-09-17,6912440530,04/25/1994,kenneth,Carter,Cancel Flight,N84114039,TRUE,SFO,DEN,FALSE,TRUE,0,6,FALSE
2022-03-27,7021963410,2013/05/06,russell,warren,Flight Status,B07834368,TRUE,DEN,DFW,TRUE,TRUE,7,18,TRUE
2021-06-01,7021963410,2013/05/06,russell,warren,New Flight,I82072769,TRUE,ATL,DEN,FALSE,TRUE,0,23,FALSE
2021-09-19,7021963410,05/06/2013,RUSSELL,Warren,Flight Status,C56827188,TRUE,ATL,JFK,TRUE,FALSE,0,1,FALSE
2023-07-29,7021963410,06-05-2013,russell,Warren,Flight Deal,B07464418,TRUE,DFW,YYY,FALSE,TRUE,7,12,FALSE
2021-11-06,7843159087,1995/09/24,charles,Griffin,Flight Deal,G71160336,TRUE,DFW,SFO,TRUE,FALSE,6,9,FALSE
2022-04-24,7843159087,1995/09/24,charles,griffin,New Flight,H10728001,TRUE,DEN,SEA,TRUE,TRUE,0,6,FALSE
2024-05-08,7843159087,,charles,griffin,Flight Deal,W38382635,TRUE,LAX,DEN,FALSE,TRUE,3,20,TRUE
2023-12-19,7843159087,09/24/1995,charles,griffin,Cancel Flight,,,DFW,LAX,FALSE,FALSE,10,,TRUE
2022-10-19,7843159087,09/24/1995,CHARLES,griffin,Flight Status,Q72711661,TRUE,ATL,JFK,TRUE,FALSE,-1,12,FALSE
2022-12-27,4696877036,1991/05/23,BRENDA,wiley,,N29822806,FALSE,ATL,MIA,FALSE,TRUE,-1,12,TRUE
2023-10-19,,1991/05/23,BRENDA,wiley,New Flight,L10502516,FALSE,SFO,SEA,TRUE,FALSE,8,9,FALSE
2022-01-30,4696877036,1991/05/23,brenda,wiley,Flight Status,U02349435,TRUE,,BOS,,FALSE,0,,FALSE
2022-04-29,4696877036,23-05-1991,brenda,wiley,Flight Status,G11595291,TRUE,JFK,ORD,TRUE,FALSE,-1,6,FALSE
2021-01-07,4696877036,1991/05/23,BRENDA,wiley,Flight Status,A58993335,FALSE,DEN,BOS,TRUE,FALSE,2,6,TRUE
2022-02-15,5230275328,1997/07/21,andrew,Myers,Flight Status,V43589017,TRUE,DFW,ATL,FALSE,TRUE,9,2,TRUE
2024-08-25,5230275328,07/21/1997,ANDREW,Myers,Cancel Flight,C79973524,TRUE,BOS,DFW,,FALSE,3,9,TRUE
2021-09-03,5230275328,1997/07/21,ANDREW,Myers,Flight Status,R73577138,FALSE,DFW,ORD,TRUE,FALSE,0,6,TRUE
2021-05-17,5230275328,21-07-1997,andrew,myers,,W25836017,FALSE,BOS,DFW,FALSE,TRUE,-1,3,TRUE
2021-08-05,5230275328,07/21/1997,ANDREW,Myers,Cancel Flight,N61814283,TRUE,JFK,SEA,TRUE,TRUE,-1,11,TRUE
2024-02-10,2236939144,04/04/2006,julia,hamilton,Cancel Flight,F07369768,TRUE,MIA,YYY,FALSE,FALSE,3,1,TRUE
2022-08-07,2236939144,,julia,Hamilton,Flight Status,Z00135201,TRUE,LAX,ORD,TRUE,FALSE,3,2,FALSE
2023-07-09,2236939144,2006/04/04,julia,hamilton,Cancel Flight,B02923538,TRUE,ATL,JFK,TRUE,TRUE,0,3,FALSE
2021-04-01,2236939144,2006/04/04,JULIA,Hamilton,Flight Status,L08063253,TRUE,ttt,DEN,FALSE,TRUE,1,10,FALSE
2023-06-10,2236939144,04-04-2006,julia,hamilton,Cancel Flight,W94730227,TRUE,DFW,JFK,FALSE,FALSE,10,7,TRUE
2023-04-28,2236939144,2006/04/04,julia,Hamilton,Flight Deal,T47151893,FALSE,LAX,ATL,FALSE,TRUE,0,17,
2023-05-20,2236939144,04-04-2006,julia,Hamilton,Cancel Flight,D98416086,FALSE,MIA,DEN,FALSE,FALSE,1,18,TRUE
2023-07-07,,04/04/2006,julia,hamilton,Flight Status,W05269307,TRUE,ATL,DEN,FALSE,TRUE,2,9,TRUE
2022-08-30,2236939144,2006/04/04,julia,hamilton,Cancel Flight,D26291011,TRUE,SEA,BOS,FALSE,TRUE,-1,10,TRUE
2021-01-19,2236939144,04-04-2006,julia,Hamilton,Flight Status,H33182343,FALSE,ORD,SEA,FALSE,TRUE,-1,10,TRUE
2021-09-09,7517632135,2006/09/02,MARIE,Barajas,New Flight,L99943563,TRUE,BOS,DFW,FALSE,FALSE,0,11,TRUE
2021-10-18,7517632135,02-09-2006,MARIE,barajas,Cancel Flight,A88008046,TRUE,LAX,DFW,TRUE,FALSE,3,11,FALSE
2023-04-14,7517632135,2006/09/02,marie,Barajas,Cancel Flight,F19456755,TRUE,SEA,MIA,FALSE,FALSE,,12,FALSE
2021-02-21,7517632135,09/02/2006,MARIE,barajas,New Flight,S59078874,FALSE,LAX,MIA,TRUE,FALSE,3,6,FALSE
2024-07-26,7517632135,02-09-2006,marie,Barajas,Cancel Flight,M01634021,FALSE,LAX,YYY,FALSE,TRUE,9,10,FALSE
2023-11-05,7517632135,09/02/2006,MARIE,Barajas,Cancel Flight,F97603151,FALSE,ttt,BOS,FALSE,FALSE,8,6,TRUE
2022-10-19,7517632135,,MARIE,barajas,Flight Status,L76929489,,SEA,ORD,,FALSE,1,8,TRUE
2022-05-13,7517632135,2006/09/02,MARIE,barajas,Cancel Flight,X53418002,FALSE,ttt,ORD,FALSE,FALSE,0,10,TRUE
2023-09-11,7517632135,,marie,Barajas,Cancel Flight,A25951169,FALSE,MIA,DEN,TRUE,FALSE,12,8,FALSE
2021-12-24,7517632135,2006/09/02,marie,Barajas,Cancel Flight,H96848623,FALSE,LAX,ATL,FALSE,FALSE,-1,7,TRUE
2022-03-17,5473326495,2020/11/29,,nguyen,Flight Deal,Q27992673,TRUE,,MIA,TRUE,FALSE,-1,24,FALSE
2023-08-04,5473326495,2020/11/29,jason,nguyen,New Flight,C16816722,FALSE,MIA,DFW,TRUE,TRUE,0,8,TRUE
2024-02-08,5473326495,2020/11/29,jason,,Flight Deal,F73100628,TRUE,MIA,ORD,TRUE,FALSE,12,,TRUE
2021-01-25,5473326495,,jason,nguyen,Flight Status,L59869937,TRUE,,ATL,,TRUE,0,4,FALSE
2021-10-11,5473326495,11/29/2020,jason,nguyen,Flight Status,O40035106,FALSE,DEN,DFW,TRUE,FALSE,0,18,FALSE
2024-05-19,2509250448,17-12-1995,MELANIE,Lambert,Flight Deal,A68979943,FALSE,JFK,LAX,FALSE,FALSE,9,23,TRUE
2022-03-16,2509250448,17-12-1995,melanie,lambert,Cancel Flight,S61047348,FALSE,DEN,ATL,TRUE,TRUE,0,10,TRUE
2024-04-16,2509250448,17-12-1995,melanie,lambert,Cancel Flight,G75186730,FALSE,DEN,YYY,TRUE,TRUE,4,8,FALSE
2021-09-11,5101803719,29-02-2016,CARLOS,Rivera,New Flight,F24585229,TRUE,ORD,,FALSE,TRUE,-1,21,FALSE
2022-08-12,5101803719,,carlos,rivera,Flight Deal,O82225003,TRUE,ttt,BOS,TRUE,FALSE,0,2,TRUE
2022-02-22,5101803719,2016/02/29,CARLOS,Rivera,New Flight,E74600744,TRUE,DFW,ORD,TRUE,FALSE,9,7,TRUE
2021-03-30,5101803719,29-02-2016,CARLOS,Rivera,New Flight,,,DFW,SEA,,FALSE,-1,16,FALSE
2022-04-22,6967238867,07/07/2019,AMANDA,kennedy,New Flight,O45882125,TRUE,DEN,MIA,FALSE,TRUE,3,23,FALSE
2022-11-19,6967238867,07-07-2019,AMANDA,kennedy,Flight Status,H60796612,TRUE,ATL,DEN,TRUE,FALSE,0,9,FALSE
2022-02-08,6967238867,,amanda,kennedy,New Flight,V78092117,FALSE,DFW,JFK,FALSE,FALSE,0,24,FALSE
2022-12-30,6967238867,2019/07/07,amanda,Kennedy,New Flight,F83495347,,ttt,ORD,FALSE,TRUE,10,3,FALSE
2024-03-12,6967238867,2019/07/07,AMANDA,Kennedy,,W20407599,TRUE,ORD,,TRUE,FALSE,-1,21,FALSE
2022-01-22,9835984567,14-09-1994,DOUGLAS,Moore,Flight Status,,TRUE,MIA,DEN,TRUE,FALSE,11,17,TRUE
2023-08-21,9835984567,1994/09/14,DOUGLAS,moore,Flight Deal,R37816887,TRUE,LAX,SFO,FALSE,,0,15,FALSE
2021-09-23,9835984567,09/14/1994,douglas,moore,Flight Deal,I47119371,FALSE,SEA,SFO,TRUE,FALSE,2,7,FALSE
2024-04-15,9835984567,1994/09/14,DOUGLAS,moore,,V82974332,TRUE,ATL,DEN,TRUE,FALSE,0,8,TRUE
2022-03-29,8455057206,1995/05/01,michael,estes,Cancel Flight,P12152104,TRUE,BOS,LAX,TRUE,TRUE,-1,14,FALSE
2021-11-15,8455057206,01-05-1995,MICHAEL,estes,Cancel Flight,M22982866,TRUE,SEA,LAX,TRUE,FALSE,-1,14,TRUE
2021-05-07,8455057206,05/01/1995,michael,,Flight Status,L89076665,TRUE,SEA,,FALSE,FALSE,0,12,FALSE
2022-05-30,2531375491,07/22/2009,YVETTE,collins,Flight Deal,H12781539,FALSE,SEA,ORD,TRUE,TRUE,-1,17,FALSE
2023-07-23,2531375491,07/22/2009,yvette,collins,New Flight,S01765949,FALSE,BOS,SEA,TRUE,FALSE,-1,15,TRUE
2021-09-11,2531375491,22-07-2009,yvette,collins,Cancel Flight,M52525503,TRUE,,DEN,TRUE,FALSE,8,9,FALSE
2024-03-05,8447166730,10-12-2003,craig,,Flight Status,E06748425,TRUE,SFO,YYY,FALSE,TRUE,-1,8,FALSE
2021-03-07,8447166730,2003/12/10,CRAIG,nguyen,Flight Status,Q92631746,FALSE,DEN,ORD,FALSE,TRUE,0,16,FALSE
2023-02-02,8447166730,2003/12/10,craig,Nguyen,Cancel Flight,P98447397,,MIA,DEN,TRUE,FALSE,11,21,TRUE
2021-04-21,8447166730,10-12-2003,craig,nguyen,Cancel Flight,I78542725,TRUE,ttt,ATL,FALSE,FALSE,0,19,FALSE
2022-10-06,8447166730,10-12-2003,CRAIG,nguyen,Flight Deal,U06516451,FALSE,BOS,SFO,TRUE,TRUE,2,,TRUE
2022-06-07,1618097705,18-06-1989,carlos,George,Flight Deal,V43917824,FALSE,JFK,SEA,FALSE,TRUE,2,7,FALSE
2021-06-02,1618097705,18-06-1989,carlos,george,New Flight,R91692242,TRUE,,LAX,FALSE,TRUE,9,5,TRUE
2021-12-07,1618097705,06/18/1989,CARLOS,George,New Flight,Y77284610,FALSE,,DFW,,,0,4,FALSE
2024-08-21,1618097705,06/18/1989,carlos,George,Flight Deal,Y85944886,FALSE,BOS,LAX,TRUE,FALSE,-1,1,TRUE
2024-08-24,2850617291,1989/03/17,PATRICIA,thomas,Cancel Flight,O29400086,FALSE,SEA,SFO,FALSE,FALSE,7,18,FALSE
2023-03-19,2850617291,03/17/1989,PATRICIA,thomas,Cancel Flight,M19299841,FALSE,JFK,ATL,FALSE,FALSE,0,10,TRUE
2024-04-06,2850617291,17-03-1989,patricia,thomas,Cancel Flight,W39184374,FALSE,DEN,LAX,FALSE,FALSE,0,11,
2024-01-04,2850617291,,patricia,Thomas,New Flight,S93912943,TRUE,ttt,YYY,FALSE,TRUE,6,17,FALSE
2022-11-13,2661601839,10/26/2008,,moreno,New Flight,E81336533,FALSE,JFK,SFO,TRUE,TRUE,3,17,TRUE
2023-11-20,2661601839,2008/10/26,JOEL,Moreno,Cancel Flight,,TRUE,JFK,MIA,FALSE,FALSE,11,10,FALSE
2023-07-19,2661601839,26-10-2008,joel,moreno,Flight Deal,A24601570,TRUE,ttt,MIA,FALSE,TRUE,8,8,FALSE
2022-01-23,2661601839,10/26/2008,joel,moreno,Flight Deal,F73383847,FALSE,DFW,LAX,FALSE,TRUE,,8,FALSE
2023-04-01,5674480042,04/06/2017,STEPHANIE,price,Flight Status,X73961530,,ATL,SFO,TRUE,FALSE,12,11,TRUE
2023-01-13,5674480042,06-04-2017,STEPHANIE,price,Cancel Flight,M60958816,TRUE,ttt,MIA,FALSE,FALSE,11,16,FALSE
2024-08-23,5674480042,04/06/2017,stephanie,Price,Cancel Flight,E03555586,FALSE,BOS,ORD,TRUE,FALSE,2,12,FALSE
2023-03-09,5674480042,04/06/2017,stephanie,Price,Flight Deal,P15597840,TRUE,DEN,BOS,FALSE,TRUE,9,12,FALSE
2023-03-03,5674480042,2017/04/06,STEPHANIE,Price,Flight Status,Y38711653,TRUE,ttt,BOS,FALSE,FALSE,0,14,FALSE
2024-08-03,2846185458,02-12-1992,vanessa,johnson,Flight Deal,O20807719,FALSE,ATL,SEA,TRUE,TRUE,2,3,TRUE
2023-02-13,2846185458,,VANESSA,Johnson,Cancel Flight,W08670153,TRUE,MIA,SEA,TRUE,FALSE,-1,2,TRUE
2024-10-10,2846185458,1992/12/02,VANESSA,johnson,Flight Status,P65025176,FALSE,ORD,DEN,FALSE,FALSE,1,4,TRUE
2022-07-26,2846185458,12/02/1992,VANESSA,johnson,,P66894441,FALSE,JFK,MIA,FALSE,TRUE,-1,7,FALSE
2023-12-09,2846185458,02-12-1992,VANESSA,johnson,Flight Status,N98080421,TRUE,MIA,BOS,TRUE,FALSE,3,17,TRUE
2023-12-25,6390305415,10-01-2021,ASHLEE,harris,Flight Deal,A93383959,FALSE,DEN,MIA,TRUE,TRUE,-1,7,TRUE
2021-08-18,6390305415,10-01-2021,ashlee,Harris,Flight Deal,T21721928,TRUE,DEN,LAX,TRUE,TRUE,,22,FALSE
2023-01-01,6390305415,2021/01/10,ashlee,Harris,Cancel Flight,N51323676,TRUE,LAX,JFK,FALSE,FALSE,-1,,FALSE
2022-06-11,6390305415,2021/01/10,ASHLEE,Harris,Cancel Flight,Q15961580,TRUE,JFK,ATL,FALSE,,7,10,FALSE
2024-09-24,6390305415,01/10/2021,ASHLEE,harris,Cancel Flight,Y02305797,,ATL,LAX,FALSE,TRUE,0,,FALSE
2022-11-28,740267700,07/20/1991,michael,Morgan,New Flight,U90512107,FALSE,LAX,ATL,TRUE,TRUE,-1,6,FALSE
2021-12-11,740267700,1991/07/20,MICHAEL,morgan,Cancel Flight,X34704160,,MIA,ORD,FALSE,FALSE,0,,
2024-03-04,,20-07-1991,michael,Morgan,Cancel Flight,S58785789,FALSE,SEA,BOS,FALSE,TRUE,0,21,TRUE
2022-04-20,740267700,07/20/1991,michael,Morgan,New Flight,Q48179011,FALSE,MIA,ATL,TRUE,TRUE,13,16,TRUE
2022-02-23,740267700,20-07-1991,MICHAEL,morgan,Flight Deal,Q66956995,TRUE,MIA,DEN,FALSE,FALSE,9,10,TRUE
2022-01-10,5195827162,10/25/2004,mary,ryan,New Flight,O41549818,FALSE,MIA,DFW,FALSE,FALSE,-1,10,FALSE
2022-06-13,5195827162,10/25/2004,mary,Ryan,Flight Status,K91686836,TRUE,DFW,LAX,FALSE,FALSE,-1,10,FALSE
2023-05-31,5195827162,25-10-2004,MARY,Ryan,Cancel Flight,S88526747,FALSE,DEN,BOS,TRUE,TRUE,-1,5,TRUE
2023-10-10,5195827162,,MARY,Ryan,Flight Status,N74501068,FALSE,DFW,ORD,FALSE,FALSE,13,7,TRUE
2022-12-29,2408667930,,john,Montgomery,,,,BOS,DFW,FALSE,FALSE,0,10,FALSE
2021-03-27,2408667930,20-11-2005,john,Montgomery,,T19047407,FALSE,ttt,SEA,FALSE,FALSE,10,13,FALSE
2022-02-11,2408667930,20-11-2005,JOHN,Montgomery,Flight Status,L47996896,,SEA,JFK,FALSE,FALSE,8,,TRUE
2023-10-28,2408667930,20-11-2005,john,montgomery,New Flight,D52494021,TRUE,DEN,DFW,FALSE,FALSE,10,16,
2022-02-01,,2005/11/20,JOHN,Montgomery,Flight Status,Z83669952,,DFW,,TRUE,TRUE,8,16,TRUE
2021-10-12,6427811025,09/19/1990,SHARON,tran,Flight Deal,K15877545,TRUE,SFO,ATL,TRUE,TRUE,0,13,FALSE
2023-10-15,6427811025,09/19/1990,sharon,Tran,New Flight,L52531420,TRUE,BOS,SEA,TRUE,TRUE,2,9,TRUE
2023-01-23,6427811025,19-09-1990,sharon,Tran,Cancel Flight,,TRUE,ATL,DFW,TRUE,FALSE,0,7,FALSE
2023-10-16,6427811025,19-09-1990,sharon,Tran,Flight Deal,A21570682,TRUE,BOS,YYY,FALSE,TRUE,-1,3,FALSE
2021-08-02,6427811025,09/19/1990,sharon,Tran,Flight Deal,I58784976,FALSE,MIA,ATL,FALSE,TRUE,4,2,TRUE
2022-07-26,2383472933,29-03-1998,darlene,Calderon,Flight Status,J21301648,TRUE,LAX,,FALSE,FALSE,9,11,TRUE
2022-05-23,2383472933,29-03-1998,darlene,calderon,Flight Status,P62142812,TRUE,LAX,ORD,FALSE,TRUE,-1,9,FALSE
2022-04-30,2383472933,03/29/1998,darlene,Calderon,Flight Deal,,TRUE,LAX,,FALSE,FALSE,0,8,TRUE
2023-05-29,7437623305,13-08-2012,jennifer,sandoval,Flight Deal,V68257930,FALSE,ORD,SFO,TRUE,TRUE,0,7,
2022-11-15,7437623305,08/13/2012,JENNIFER,sandoval,Flight Status,Z27558967,FALSE,BOS,LAX,FALSE,FALSE,-1,15,FALSE
2022-10-13,7437623305,08/13/2012,JENNIFER,,Flight Deal,P05629563,FALSE,,DEN,FALSE,FALSE,3,10,FALSE
2021-11-28,,2024/07/10,ERIN,Mason,Flight Status,L08269666,TRUE,DEN,YYY,TRUE,TRUE,-1,25,TRUE
2024-10-11,1156469364,07/10/2024,erin,Mason,Flight Status,D98208217,FALSE,,ATL,TRUE,TRUE,11,16,FALSE
2023-09-08,1156469364,2024/07/10,ERIN,mason,Cancel Flight,P02949146,FALSE,MIA,DFW,TRUE,TRUE,9,16,
2021-08-03,1156469364,10-07-2024,erin,Mason,Flight Deal,L32060338,FALSE,,BOS,TRUE,,-1,5,TRUE
2022-09-09,6392074754,1998/12/06,mary,Lopez,New Flight,A52420910,TRUE,SFO,ORD,FALSE,FALSE,0,15,TRUE
2024-08-28,6392074754,,MARY,Lopez,,H87386564,TRUE,ATL,DFW,FALSE,TRUE,-1,2,FALSE
2022-09-23,6392074754,06-12-1998,mary,lopez,Flight Status,E01741170,TRUE,JFK,ORD,FALSE,FALSE,12,13,
2023-06-15,4398975317,08/15/2007,,Austin,Flight Deal,Q88801362,FALSE,ttt,SFO,TRUE,FALSE,0,3,TRUE
2021-10-31,4398975317,,AARON,austin,New Flight,K78993671,FALSE,MIA,ATL,TRUE,FALSE,-1,9,FALSE
2023-01-20,4398975317,08/15/2007,aaron,Austin,New Flight,A78094705,TRUE,ttt,SEA,FALSE,FALSE,0,20,FALSE
2023-12-29,,08/15/2007,aaron,Austin,Flight Deal,U47077243,TRUE,ATL,LAX,TRUE,TRUE,7,4,TRUE
